"","goal","usd_goal_real","title_length","title_punc","title_caps_ratio","currency_is_usd","country_is_us","launched_epoch","open_epoch","Art","Comics","Crafts","Dance","Design","Fashion","Film & Video","Food","Games","Journalism","Music","Photography","Publishing","Technology","Theater","target"
"1965",800,800,9,0,0.111111111111111,1,1,1318293998,2524402,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"1967",2e+05,2e+05,12,0,0.833333333333333,1,1,1298312679,7814121,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"1968",49000,49000,52,2,0.18,1,1,1421819544,2506056,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"1969",11250,10403.18,56,1,0.0363636363636364,0,0,1400052969,3101031,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"1971",3500,3500,15,0,0.133333333333333,1,1,1481608114,2506286,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"1972",8000,8000,13,0,0.153846153846154,1,1,1328311337,3217063,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
"1973",4000,6094.31,40,1,0.128205128205128,0,0,1367301259,2675141,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"1974",12000,12000,54,4,0.14,1,1,1360023576,3386424,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"1975",3000,4810.24,32,1,0.129032258064516,0,0,1407607802,5136598,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"1976",5000,5000,28,1,0.148148148148148,1,1,1424317222,3374378,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
"1977",2000,2243.79,29,0,0.103448275862069,0,0,1460772345,2516055,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"1978",3200,3200,34,2,0.15625,1,1,1313110837,3124763,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"1979",4100,4100,43,3,0.2,1,1,1306548080,3812320,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"1980",5000,3927.73,22,1,0.19047619047619,0,0,1420528927,2587073,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"1981",547,547,57,2,0.127272727272727,1,1,1347715844,2561356,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"1982",15000,15000,8,0,1,1,1,1473401632,2501168,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"1983",5000,5000,21,0,0.142857142857143,1,1,1478065882,2592518,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"1984",3000,3946.23,56,2,0.111111111111111,0,0,1467779709,2507091,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"1986",4000,6194.64,57,1,0.125,0,0,1431474515,2524285,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"1987",6000,9703.24,57,2,0.163636363636364,0,0,1378852778,3392422,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"1988",110,110,18,0,0.166666666666667,1,1,1490647989,2534811,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
"1989",4000,4000,24,1,0.217391304347826,1,1,1431145502,3803698,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"1990",500,500,16,0,0.1875,1,1,1472893499,2577301,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"1991",2800,3277.96,53,1,0.134615384615385,0,0,1503419392,3846608,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"1992",3800,3800,16,0,0.875,1,1,1363765725,3445875,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"1993",2000,2000,29,0,0.172413793103448,1,1,1261469198,7160002,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
